model,group,variant,sentence_sim,contextual_span_sim,isolated_phrase_sim
BERT-large,compositional_nc,component,0.979599129408598,0.8760816939175129,0.7454476468265057
BERT-large,compositional_nc,random,0.9379829280078411,0.717318806797266,0.6863523386418819
BERT-large,compositional_nc,synonym,0.9823076650500298,0.9314702562987804,0.8652359433472157
BERT-large,compositional_nc,word_by_word,0.9726819694042206,0.8792309276759624,0.8137149885296822
BERT-large,idiomatic_nc,component,0.9612546414136887,0.809030469506979,0.7172195687890053
BERT-large,idiomatic_nc,random,0.9241367615759373,0.6647406406700611,0.6766297668218613
BERT-large,idiomatic_nc,synonym,0.9495573602616787,0.7525242455303669,0.6527268625795841
BERT-large,idiomatic_nc,word_by_word,0.9540775045752525,0.8169797509908676,0.7355742454528809
BERT-large,ordinary_two_word_control,component,0.9791196025907993,0.8974266797304153,0.7178628221154213
BERT-large,ordinary_two_word_control,random,0.9314029812812805,0.6874833628535271,0.6802287437021732
BERT-large,ordinary_two_word_control,synonym,0.979879442602396,0.8934393413364887,0.8081416375935078
BERT-large,ordinary_two_word_control,word_by_word,0.9713514782488346,0.8622652180492878,0.8102915473282337
BERT-large,single_word_control,random,0.9491712488234043,0.6355004645884037,0.7198191024363041
BERT-large,single_word_control,related,0.9817405678331852,0.8439740724861622,0.8129620440304279
BERT-large,single_word_control,synonym,0.9860844500362873,0.8943111151456833,0.8268699534237385
EmbeddingMagibu-200M,compositional_nc,component,0.9986434727907181,0.9527024105191231,0.9655073955655098
EmbeddingMagibu-200M,compositional_nc,random,0.9949225932359695,0.8922403752803802,0.9413581043481827
EmbeddingMagibu-200M,compositional_nc,synonym,0.9987166114151478,0.9674803167581558,0.9735292382538319
EmbeddingMagibu-200M,compositional_nc,word_by_word,0.9978056959807873,0.9490075036883354,0.9654170274734497
EmbeddingMagibu-200M,idiomatic_nc,component,0.9986363612115383,0.9747361280024052,0.9639603458344936
EmbeddingMagibu-200M,idiomatic_nc,random,0.9963237978518009,0.9493909776210785,0.9568455442786217
EmbeddingMagibu-200M,idiomatic_nc,synonym,0.996433787047863,0.9476246014237404,0.9522615633904934
EmbeddingMagibu-200M,idiomatic_nc,word_by_word,0.9976422227919102,0.9698364473879337,0.9624817483127117
EmbeddingMagibu-200M,ordinary_two_word_control,component,0.9987011030316353,0.9613112807273865,0.9701195918023586
EmbeddingMagibu-200M,ordinary_two_word_control,random,0.9948185905814171,0.904615193605423,0.9454472325742245
EmbeddingMagibu-200M,ordinary_two_word_control,synonym,0.9980937950313091,0.9565489552915096,0.9667741656303406
EmbeddingMagibu-200M,ordinary_two_word_control,word_by_word,0.9973397925496101,0.9455705545842648,0.9554334245622158
EmbeddingMagibu-200M,single_word_control,random,0.9961178824305534,0.8686433807015419,0.9159564971923828
EmbeddingMagibu-200M,single_word_control,related,0.9984406046569347,0.9307955875992775,0.946259144693613
EmbeddingMagibu-200M,single_word_control,synonym,0.9989608414471149,0.9602935239672661,0.9458086863160133
